Time,Used,Committed,Max,Threshold
43515.580976,24117248,24117248,-1,-1
43515.581021,24117248,24117248,-1,-1
43515.581067,24117248,24117248,-1,-1
43515.581114,24117248,24117248,-1,-1
43515.581160,24117248,24117248,-1,-1
43515.581206,24117248,24117248,-1,-1
43515.581253,24117248,24117248,-1,-1
43515.581299,24117248,24117248,-1,-1
43515.581345,20971520,20971520,-1,-1
43515.581391,20971520,20971520,-1,-1
43515.581438,20971520,20971520,-1,-1
43515.581484,20971520,20971520,-1,-1
43515.581530,20971520,20971520,-1,-1
43515.581577,20971520,20971520,-1,-1
43515.581623,20971520,20971520,-1,-1
43515.581669,20971520,20971520,-1,-1
43515.581716,20971520,20971520,-1,-1
43515.581762,2097152,2097152,-1,-1
43515.581808,2097152,2097152,-1,-1
43515.581854,2097152,2097152,-1,-1
43515.581901,2097152,2097152,-1,-1
43515.581947,2097152,2097152,-1,-1
43515.581993,2097152,2097152,-1,-1
43515.582040,2097152,2097152,-1,-1
43515.582086,2097152,2097152,-1,-1
43515.582132,2097152,2097152,-1,-1
43515.582179,2097152,2097152,-1,-1
43515.582225,2097152,2097152,-1,-1
43515.582271,2097152,2097152,-1,-1
43515.582317,2097152,2097152,-1,-1
43515.582364,2097152,2097152,-1,-1
43515.582410,2097152,2097152,-1,-1
43515.582456,2097152,2097152,-1,-1
43515.582503,2097152,2097152,-1,-1
43515.582549,2097152,2097152,-1,-1
43515.582595,2097152,2097152,-1,-1
43515.582642,3145728,3145728,-1,-1
43515.582688,3145728,3145728,-1,-1
43515.582734,3145728,3145728,-1,-1
43515.582780,3145728,3145728,-1,-1
43515.582827,3145728,3145728,-1,-1
43515.582873,3145728,3145728,-1,-1
43515.582919,3145728,3145728,-1,-1
43515.582966,3145728,3145728,-1,-1
43515.583012,3145728,3145728,-1,-1
43515.583058,3145728,3145728,-1,-1
43515.583104,3145728,3145728,-1,-1
43515.583151,3145728,3145728,-1,-1
43515.583197,3145728,3145728,-1,-1
43515.583243,3145728,3145728,-1,-1
43515.583290,3145728,3145728,-1,-1
43515.583336,3145728,3145728,-1,-1
43515.583382,3145728,3145728,-1,-1
43515.583429,3145728,3145728,-1,-1
43515.583475,3145728,3145728,-1,-1
43515.583521,3145728,3145728,-1,-1
43515.583567,4194304,4194304,-1,-1
43515.583614,4194304,4194304,-1,-1
43515.583660,4194304,4194304,-1,-1
43515.583706,4194304,4194304,-1,-1
43515.583753,4194304,4194304,-1,-1
43515.583799,4194304,4194304,-1,-1
43515.583845,4194304,4194304,-1,-1
43515.583892,4194304,4194304,-1,-1
43515.583938,4194304,4194304,-1,-1
43515.583984,4194304,4194304,-1,-1
43515.584030,4194304,4194304,-1,-1
43515.584077,4194304,4194304,-1,-1
43515.584123,4194304,4194304,-1,-1
43515.584169,4194304,4194304,-1,-1
43515.584216,4194304,4194304,-1,-1
43515.584262,4194304,4194304,-1,-1
43515.584308,4194304,4194304,-1,-1
43515.584355,4194304,4194304,-1,-1
43515.584401,4194304,4194304,-1,-1
43515.584447,4194304,4194304,-1,-1
43515.584493,4194304,4194304,-1,-1
43515.584540,5242880,5242880,-1,-1
43515.584586,5242880,5242880,-1,-1
43515.584632,5242880,5242880,-1,-1
43515.584679,5242880,5242880,-1,-1
43515.584725,5242880,5242880,-1,-1
43515.584771,5242880,5242880,-1,-1
43515.584817,5242880,5242880,-1,-1
43515.584864,5242880,5242880,-1,-1
43515.584910,5242880,5242880,-1,-1
43515.584956,5242880,5242880,-1,-1
43515.585003,5242880,5242880,-1,-1
43515.585049,5242880,5242880,-1,-1
43515.585095,5242880,5242880,-1,-1
43515.585142,5242880,5242880,-1,-1
43515.585188,5242880,5242880,-1,-1
43515.585234,5242880,5242880,-1,-1
43515.585280,5242880,5242880,-1,-1
43515.585327,5242880,5242880,-1,-1
43515.585373,5242880,5242880,-1,-1
43515.585419,5242880,5242880,-1,-1
43515.585466,6291456,6291456,-1,-1
43515.585512,6291456,6291456,-1,-1
43515.585558,6291456,6291456,-1,-1
43515.585605,6291456,6291456,-1,-1
43515.585651,6291456,6291456,-1,-1
43515.585697,6291456,6291456,-1,-1
43515.585743,6291456,6291456,-1,-1
43515.585790,6291456,6291456,-1,-1
43515.585836,6291456,6291456,-1,-1
43515.585882,6291456,6291456,-1,-1
43515.585929,6291456,6291456,-1,-1
43515.585975,7340032,7340032,-1,-1
43515.586021,7340032,7340032,-1,-1
43515.586068,7340032,7340032,-1,-1
43515.586114,7340032,7340032,-1,-1
43515.586160,7340032,7340032,-1,-1
43515.586206,7340032,7340032,-1,-1
43515.586253,7340032,7340032,-1,-1
43515.586299,7340032,7340032,-1,-1
43515.586345,7340032,7340032,-1,-1
43515.586392,7340032,7340032,-1,-1
43515.586438,7340032,7340032,-1,-1
43515.586484,7340032,7340032,-1,-1
43515.586531,7340032,7340032,-1,-1
43515.586577,7340032,7340032,-1,-1
43515.586623,7340032,7340032,-1,-1
43515.586669,7340032,7340032,-1,-1
43515.586716,7340032,7340032,-1,-1
43515.586762,7340032,7340032,-1,-1
43515.586808,7340032,7340032,-1,-1
43515.586855,7340032,7340032,-1,-1
43515.586901,8388608,8388608,-1,-1
43515.586947,8388608,8388608,-1,-1
43515.586993,8388608,8388608,-1,-1
43515.587040,8388608,8388608,-1,-1
43515.587086,8388608,8388608,-1,-1
