Time,Used,Committed,Max,Threshold
43509.677542,14680064,14680064,-1,-1
43509.677587,14680064,14680064,-1,-1
43509.677634,14680064,14680064,-1,-1
43509.677680,14680064,14680064,-1,-1
43509.677726,14680064,14680064,-1,-1
43509.677773,14680064,14680064,-1,-1
43509.677819,11534336,11534336,-1,-1
43509.677865,11534336,11534336,-1,-1
43509.677912,13631488,13631488,-1,-1
43509.677958,13631488,13631488,-1,-1
43509.678004,13631488,13631488,-1,-1
43509.678050,10485760,10485760,-1,-1
43509.678097,10485760,10485760,-1,-1
43509.678143,10485760,10485760,-1,-1
43509.678189,9437184,9437184,-1,-1
43509.678236,9437184,9437184,-1,-1
43509.678282,9437184,9437184,-1,-1
43509.678328,9437184,9437184,-1,-1
43509.678374,10485760,10485760,-1,-1
43509.678421,10485760,10485760,-1,-1
43509.678467,10485760,10485760,-1,-1
43509.678513,10485760,10485760,-1,-1
43509.678560,10485760,10485760,-1,-1
43509.678606,10485760,10485760,-1,-1
43509.678652,10485760,10485760,-1,-1
43509.678699,10485760,10485760,-1,-1
43509.678745,10485760,10485760,-1,-1
43509.678791,10485760,10485760,-1,-1
43509.678837,10485760,10485760,-1,-1
43509.678884,10485760,10485760,-1,-1
43509.678930,10485760,10485760,-1,-1
43509.678976,10485760,10485760,-1,-1
43509.679023,10485760,10485760,-1,-1
43509.679069,10485760,10485760,-1,-1
43509.679115,10485760,10485760,-1,-1
43509.679162,10485760,10485760,-1,-1
43509.679208,10485760,10485760,-1,-1
43509.679254,10485760,10485760,-1,-1
43509.679300,10485760,10485760,-1,-1
43509.679347,10485760,10485760,-1,-1
43509.679393,10485760,10485760,-1,-1
43509.679439,10485760,10485760,-1,-1
43509.679486,10485760,10485760,-1,-1
43509.679532,10485760,10485760,-1,-1
43509.679578,10485760,10485760,-1,-1
43509.679625,10485760,10485760,-1,-1
43509.679671,9437184,9437184,-1,-1
43509.679717,9437184,9437184,-1,-1
43509.679763,9437184,9437184,-1,-1
43509.679810,5242880,5242880,-1,-1
43509.679856,5242880,5242880,-1,-1
43509.679902,5242880,5242880,-1,-1
43509.679949,5242880,5242880,-1,-1
43509.679995,3145728,3145728,-1,-1
43509.680041,3145728,3145728,-1,-1
43509.680088,3145728,3145728,-1,-1
43509.680134,1048576,1048576,-1,-1
43509.680180,1048576,1048576,-1,-1
43509.680226,1048576,1048576,-1,-1
43509.680273,1048576,1048576,-1,-1
43509.680319,1048576,1048576,-1,-1
43509.680365,1048576,1048576,-1,-1
43509.680412,1048576,1048576,-1,-1
43509.680458,1048576,1048576,-1,-1
43509.680504,1048576,1048576,-1,-1
43509.680550,1048576,1048576,-1,-1
43509.680597,1048576,1048576,-1,-1
43509.680643,1048576,1048576,-1,-1
43509.680689,1048576,1048576,-1,-1
43509.680736,1048576,1048576,-1,-1
43509.680782,1048576,1048576,-1,-1
43509.680828,1048576,1048576,-1,-1
43509.680875,1048576,1048576,-1,-1
43509.680921,1048576,1048576,-1,-1
43509.680967,1048576,1048576,-1,-1
43509.681013,1048576,1048576,-1,-1
43509.681060,1048576,1048576,-1,-1
43509.681106,1048576,1048576,-1,-1
43509.681152,1048576,1048576,-1,-1
43509.681199,1048576,1048576,-1,-1
43509.681245,1048576,1048576,-1,-1
43509.681291,1048576,1048576,-1,-1
43509.681338,1048576,1048576,-1,-1
43509.681384,1048576,1048576,-1,-1
43509.681430,1048576,1048576,-1,-1
43509.681476,1048576,1048576,-1,-1
43509.681523,1048576,1048576,-1,-1
43509.681569,1048576,1048576,-1,-1
43509.681615,1048576,1048576,-1,-1
43509.681662,1048576,1048576,-1,-1
43509.681708,1048576,1048576,-1,-1
43509.681754,1048576,1048576,-1,-1
43509.681801,1048576,1048576,-1,-1
43509.681847,1048576,1048576,-1,-1
43509.681893,1048576,1048576,-1,-1
43509.681939,1048576,1048576,-1,-1
43509.681986,1048576,1048576,-1,-1
43509.682032,1048576,1048576,-1,-1
43509.682078,1048576,1048576,-1,-1
43509.682125,1048576,1048576,-1,-1
43509.682171,1048576,1048576,-1,-1
43509.682217,1048576,1048576,-1,-1
43509.682264,1048576,1048576,-1,-1
43509.682310,1048576,1048576,-1,-1
43509.682356,1048576,1048576,-1,-1
43509.682402,1048576,1048576,-1,-1
43509.682449,1048576,1048576,-1,-1
43509.682495,1048576,1048576,-1,-1
43509.682541,1048576,1048576,-1,-1
43509.682588,1048576,1048576,-1,-1
43509.682634,1048576,1048576,-1,-1
43509.682680,1048576,1048576,-1,-1
43509.682726,1048576,1048576,-1,-1
43509.682773,1048576,1048576,-1,-1
43509.682819,1048576,1048576,-1,-1
43509.682865,1048576,1048576,-1,-1
43509.682912,1048576,1048576,-1,-1
43509.682958,1048576,1048576,-1,-1
43509.683004,1048576,1048576,-1,-1
43509.683051,1048576,1048576,-1,-1
43509.683097,1048576,1048576,-1,-1
43509.683143,1048576,1048576,-1,-1
43509.683189,1048576,1048576,-1,-1
43509.683236,1048576,1048576,-1,-1
43509.683282,1048576,1048576,-1,-1
43509.683328,1048576,1048576,-1,-1
43509.683375,1048576,1048576,-1,-1
43509.683421,1048576,1048576,-1,-1
43509.683467,1048576,1048576,-1,-1
43509.683514,1048576,1048576,-1,-1
43509.683560,1048576,1048576,-1,-1
43509.683606,1048576,1048576,-1,-1
43509.683652,1048576,1048576,-1,-1
43509.683699,1048576,1048576,-1,-1
43509.683745,1048576,1048576,-1,-1
43509.683791,1048576,1048576,-1,-1
43509.683838,1048576,1048576,-1,-1
43509.683884,1048576,1048576,-1,-1
43509.683930,1048576,1048576,-1,-1
43509.683976,1048576,1048576,-1,-1
43509.684023,1048576,1048576,-1,-1
43509.684069,1048576,1048576,-1,-1
43509.684115,1048576,1048576,-1,-1
43509.684162,1048576,1048576,-1,-1
43509.684208,1048576,1048576,-1,-1
43509.684254,1048576,1048576,-1,-1
