Time,Used,Committed,Max,Threshold
43515.517773,26214400,26214400,-1,-1
43515.517818,26214400,26214400,-1,-1
43515.517865,26214400,26214400,-1,-1
43515.517911,26214400,26214400,-1,-1
43515.517957,26214400,26214400,-1,-1
43515.518004,26214400,26214400,-1,-1
43515.518050,26214400,26214400,-1,-1
43515.518096,26214400,26214400,-1,-1
43515.518142,26214400,26214400,-1,-1
43515.518189,20971520,20971520,-1,-1
43515.518235,20971520,20971520,-1,-1
43515.518281,20971520,20971520,-1,-1
43515.518328,20971520,20971520,-1,-1
43515.518374,20971520,20971520,-1,-1
43515.518420,20971520,20971520,-1,-1
43515.518466,20971520,20971520,-1,-1
43515.518513,20971520,20971520,-1,-1
43515.518559,2097152,2097152,-1,-1
43515.518605,2097152,2097152,-1,-1
43515.518652,2097152,2097152,-1,-1
43515.518698,2097152,2097152,-1,-1
43515.518744,2097152,2097152,-1,-1
43515.518791,2097152,2097152,-1,-1
43515.518837,2097152,2097152,-1,-1
43515.518883,2097152,2097152,-1,-1
43515.518929,2097152,2097152,-1,-1
43515.518976,2097152,2097152,-1,-1
43515.519022,2097152,2097152,-1,-1
43515.519068,2097152,2097152,-1,-1
43515.519115,2097152,2097152,-1,-1
43515.519161,2097152,2097152,-1,-1
43515.519207,2097152,2097152,-1,-1
43515.519254,2097152,2097152,-1,-1
43515.519300,2097152,2097152,-1,-1
43515.519346,2097152,2097152,-1,-1
43515.519392,2097152,2097152,-1,-1
43515.519439,2097152,2097152,-1,-1
43515.519485,3145728,3145728,-1,-1
43515.519531,3145728,3145728,-1,-1
43515.519578,3145728,3145728,-1,-1
43515.519624,3145728,3145728,-1,-1
43515.519670,3145728,3145728,-1,-1
43515.519717,3145728,3145728,-1,-1
43515.519763,3145728,3145728,-1,-1
43515.519809,3145728,3145728,-1,-1
43515.519855,3145728,3145728,-1,-1
43515.519902,3145728,3145728,-1,-1
43515.519948,3145728,3145728,-1,-1
43515.519994,3145728,3145728,-1,-1
43515.520041,3145728,3145728,-1,-1
43515.520087,3145728,3145728,-1,-1
43515.520133,3145728,3145728,-1,-1
43515.520179,3145728,3145728,-1,-1
43515.520226,3145728,3145728,-1,-1
43515.520272,3145728,3145728,-1,-1
43515.520318,3145728,3145728,-1,-1
43515.520365,3145728,3145728,-1,-1
43515.520411,3145728,3145728,-1,-1
43515.520457,4194304,4194304,-1,-1
43515.520504,4194304,4194304,-1,-1
43515.520550,4194304,4194304,-1,-1
43515.520596,4194304,4194304,-1,-1
